;containerID;SH;Category;Weight;Filling start;Alt filling start;Filling end;Loading;Leaving;Plate;Arrival;Unload;trip_id
76;664;sh2;Varpaat, Siipikarja, Luokka 3;10320kg;2022-11-10T03:59:00Z;2022-11-10T04:00:00Z;2022-10-25T12:30:00Z;2022-11-10T18:56:00Z;2022-11-10T18:59:00Z;truck5;2022-11-10T14:56:00Z;2022-11-10T18:47:00Z;64.0
77;090;sh1;Sekatuote siipikarja luokka 3;13580kg;2022-11-10T17:35:00Z;;2022-11-10T19:45:00Z;2022-11-10T21:51:00Z;2022-11-10T21:56:00Z;truck1;2022-11-10T18:32:00Z;2022-11-10T21:56:00Z;65.0
78;634;sh1;Sekatuote siipikarja luokka 3;15260kg;2022-11-10T15:45:00Z;;2022-11-10T17:34:00Z;2022-11-10T21:51:00Z;2022-11-10T21:56:00Z;truck1;2022-11-10T18:32:00Z;2022-11-10T21:51:00Z;66.0
79;633;sh2;Sekatuote siipikarja luokka 3;12860kg;2022-11-10T15:37:00Z;;2022-11-10T20:30:00Z;2022-11-10T21:27:00Z;2022-11-10T22:05:00Z;truck6;2022-11-10T17:25:00Z;2022-11-10T22:04:00Z;67.0
80;635;sh2;Sekatuote siipikarja luokka 3;7080kg;2022-11-10T18:01:00Z;;2022-11-10T21:58:00Z;2022-11-10T21:27:00Z;2022-11-10T22:05:00Z;truck6;2022-11-10T17:25:00Z;2022-11-10T21:56:00Z;68.0
81;623;sh1;Sekatuote siipikarja luokka 3;13860kg;2022-11-11T08:46:00Z;;2022-11-11T10:52:00Z;2022-11-11T11:10:00Z;2022-11-11T11:17:00Z;truck4;2022-11-11T13:01:00Z;2022-11-11T13:41:00Z;69.0
82;650;sh1;Sekatuote siipikarja luokka 3;14540kg;2022-11-11T06:36:00Z;;2022-11-11T08:38:00Z;2022-11-11T11:10:00Z;2022-11-11T11:17:00Z;truck4;2022-11-11T13:01:00Z;2022-11-11T13:36:00Z;69.0
83;627;sh2;Varpaat, Siipikarja, Luokka 3;11060kg;2022-11-11T03:51:00Z;2022-11-11T04:00:00Z;2022-11-11T19:01:00Z;2022-11-11T18:21:00Z;2022-11-11T19:19:00Z;truck1;2022-11-11T14:11:00Z;2022-11-11T19:08:00Z;70.0
84;669;sh2;Sekatuote siipikarja luokka 3;16120kg;2022-11-11T15:06:00Z;;2022-11-11T19:13:00Z;2022-11-11T18:22:00Z;2022-11-11T19:19:00Z;truck1;2022-11-11T14:11:00Z;2022-11-11T19:26:00Z;71.0
85;621;sh1;Sekatuote siipikarja luokka 3;14580kg;2022-11-11T15:49:00Z;;2022-11-11T17:15:00Z;2022-11-11T22:43:00Z;2022-11-11T22:52:00Z;truck6;2022-11-11T18:42:00Z;2022-11-11T22:43:00Z;72.0
